,Unnamed: 0,name,address,date,neg,neu,pos
1035,1035,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",5_30_2018,0.044000000000000004,0.7,0.256
1036,1036,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",1_8_2018,0.026000000000000002,0.732,0.242
1037,1037,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",10_8_2018,0.035,0.688,0.27699999999999997
1038,1038,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",10_27_2018,0.044000000000000004,0.6890000000000001,0.267
1039,1039,SalaandBetty,"        5201 Airport Blvd Austin, TX 78751    ",4_16_2019,0.05,0.7709999999999999,0.179
1040,1040,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",9_1_2016,0.06,0.723,0.217
1041,1041,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",1_15_2016,0.051,0.685,0.264
1042,1042,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",8_14_2014,0.040999999999999995,0.737,0.221
1043,1043,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",5_23_2018,0.064,0.738,0.198
1044,1044,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",8_22_2017,0.099,0.703,0.198
1045,1045,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",1_1_2018,0.065,0.715,0.221
1046,1046,Jeffrey,"        1204 W Lynn St Austin, TX 78703    ",3_8_2019,0.047,0.7,0.253
1047,1047,CasaColombia,"        2409 E 7th St Austin, TX 78702    ",9_29_2017,0.059000000000000004,0.6809999999999999,0.26
1048,1048,CasaColombia,"        2409 E 7th St Austin, TX 78702    ",8_11_2018,0.065,0.7140000000000001,0.221
1049,1049,CasaColombia,"        2409 E 7th St Austin, TX 78702    ",4_1_2018,0.044000000000000004,0.7040000000000001,0.252
1050,1050,CasaColombia,"        2409 E 7th St Austin, TX 78702    ",8_29_2018,0.034,0.701,0.265
1051,1051,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",9_20_2017,0.024,0.6920000000000001,0.284
1052,1052,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",2_7_2018,0.037000000000000005,0.6920000000000001,0.27
1053,1053,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",4_8_2018,0.044000000000000004,0.693,0.263
1054,1054,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",4_18_2018,0.047,0.7040000000000001,0.249
1055,1055,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",11_4_2018,0.044000000000000004,0.6559999999999999,0.3
1056,1056,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",3_24_2019,0.043,0.727,0.23
1057,1057,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",5_24_2019,0.037000000000000005,0.6729999999999999,0.29100000000000004
1058,1058,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",7_19_2019,0.042,0.705,0.253
1059,1059,CasaColombia,"        2409 E 7th St Austin, TX 78702    ",5_18_2019,0.022000000000000002,0.743,0.235
1060,1060,Picnik,"        4801 Burnet Rd Austin, TX 78756    ",7_24_2019,0.052000000000000005,0.6920000000000001,0.256
1061,1061,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",7_26_2016,0.03,0.705,0.265
1062,1062,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",6_15_2015,0.057,0.713,0.23
1063,1063,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",12_21_2016,0.057999999999999996,0.741,0.201
1064,1064,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",4_2_2018,0.042,0.708,0.25
1065,1065,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",8_29_2018,0.055,0.716,0.22899999999999998
1066,1066,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",2_24_2019,0.027999999999999997,0.679,0.293
1067,1067,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",10_28_2018,0.036000000000000004,0.696,0.268
1068,1068,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",7_25_2018,0.032,0.71,0.258
1069,1069,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",7_12_2019,0.04,0.6609999999999999,0.299
1070,1070,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",10_10_2016,0.055999999999999994,0.732,0.212
1071,1071,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",1_20_2017,0.048,0.69,0.261
1072,1072,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",8_10_2018,0.05,0.695,0.255
1073,1073,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",4_7_2019,0.039,0.708,0.253
1074,1074,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",6_10_2019,0.053,0.7390000000000001,0.20800000000000002
1075,1075,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",8_25_2018,0.031,0.667,0.302
1076,1076,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",2_17_2019,0.07400000000000001,0.7659999999999999,0.16
1077,1077,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",10_10_2018,0.064,0.672,0.264
1078,1078,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",4_8_2019,0.044000000000000004,0.728,0.22699999999999998
1079,1079,SwiftAttic,"        315 Congress Ave Ste 200 Austin, TX 78701    ",7_29_2019,0.034,0.713,0.252
1080,1080,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",8_2_2018,0.038,0.716,0.24600000000000002
1081,1081,RamenTatsuYa,"        1600 E 6th St Austin, TX 78702    ",2_9_2019,0.04,0.7390000000000001,0.221
1082,1082,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",2_3_2017,0.049,0.725,0.226
1083,1083,TheBeerPlant,"        3110 Windsor Rd Austin, TX 78703    ",7_1_2019,0.033,0.713,0.254
1084,1084,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",5_26_2016,0.024,0.728,0.248
1085,1085,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",8_13_2015,0.024,0.688,0.28800000000000003
1086,1086,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",7_22_2018,0.028999999999999998,0.7090000000000001,0.262
1087,1087,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",11_17_2016,0.025,0.738,0.23600000000000002
1088,1088,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",8_4_2018,0.038,0.716,0.24600000000000002
1089,1089,LebowskiGrill,"        8909 Burnet Rd Austin, TX 78757    ",5_31_2019,0.040999999999999995,0.7120000000000001,0.248
